entry_bar,exit_bar,side,entry_price,exit_price,quantity,pnl,exit_reason,confidence
3460,3468,BUY,24632.83,24653.02,1,0.19,TP,0.7224
3473,3475,SELL,24633.82,24662.78,1,-48.96,SL,0.636
3480,3502,SELL,24662.42,24639.68,1,2.74,TP,0.7519
3507,3516,SELL,24623.32,24601.82,1,1.5,TP,0.7094
3521,3528,SELL,24596.58,24576.26,1,0.32,TP,0.5637
3533,3534,BUY,24565.81,24589.68,1,3.87,TP,0.8191
3539,3552,BUY,24584.02,24603.73,1,-0.29,TP,0.7403
3560,3570,BUY,24625.22,24651.47,1,6.24,TP,0.5849
3575,3600,SELL,24636.87,24665.23,1,-48.36,SL,0.4914
3611,3630,SELL,24640.82,24668.48,1,-47.66,SL,0.6331
3638,3656,SELL,24612.93,24587.97,1,4.96,TP,0.6315
3661,3677,SELL,24568.53,24545.16,1,3.38,TP,0.5687
3682,3684,BUY,24554.91,24586.03,1,11.12,TP,0.6878
3689,3691,SELL,24606.33,24586.52,1,-0.19,TP,0.5744
3696,3698,BUY,24615.72,24654.22,1,18.5,TP,0.8094
3703,3710,BUY,24736.85,24778.44,1,21.6,TP,0.7029
3715,3719,SELL,24821.59,24853.92,1,-52.33,SL,0.6957
3724,3731,SELL,24785.74,24764.05,1,1.69,TP,0.9088
3736,3739,SELL,24748.85,24721.79,1,7.06,TP,0.7167
3744,3746,SELL,24714.11,24739.15,1,-45.04,SL,0.6294
3751,3753,SELL,24640.32,24613.27,1,7.05,TP,0.6525
3758,3763,BUY,24650.48,24673.01,1,2.53,TP,0.6666
3768,3791,SELL,24663.02,24639.88,1,3.14,TP,0.6172
3810,3828,SELL,24655.87,24630.62,1,5.24,TP,0.5694
3833,3844,SELL,24620.52,24591.42,1,9.11,TP,0.5825
3849,3855,SELL,24591.78,24622.42,1,-50.64,SL,0.5107
3860,3873,SELL,24636.12,24605.67,1,10.45,TP,0.6706
3881,3889,SELL,24594.53,24625.37,1,-50.84,SL,0.4703
3895,3911,SELL,24638.07,24618.27,1,-0.2,TP,0.6666
3922,3943,SELL,24611.68,24583.32,1,8.36,TP,0.4877
3997,4010,SELL,24605.13,24583.27,1,1.86,TP,0.5437
4015,4027,SELL,24602.28,24579.76,1,2.51,TP,0.6055
4032,4045,BUY,24565.56,24587.78,1,2.22,TP,0.5529
4051,4070,SELL,24606.73,24583.97,1,2.76,TP,0.5105
4075,4083,SELL,24556.84,24479.2,1,57.64,TP,0.6947
4088,4091,SELL,24524.54,24501.05,1,3.49,TP,0.7847
4096,4108,SELL,24462.31,24439.09,1,3.22,TP,0.6523
4113,4125,BUY,24445.34,23903.02,1,-562.32,SL,0.6283
4130,4134,SELL,23764.9,23723.94,1,20.95,TP,0.8782
4139,4140,BUY,23741.55,23771.65,1,10.1,TP,0.7926
4145,4155,SELL,23753.2,23721.04,1,12.15,TP,0.911
4163,4178,BUY,23775.5,23798.94,1,3.43,TP,0.5482
4183,4185,SELL,23811.64,23783.51,1,8.13,TP,0.7138
4190,4221,SELL,23773.64,23849.22,1,-95.57,SL,0.629
4226,4230,SELL,23879.37,23844.87,1,14.51,TP,0.6834
4235,4240,SELL,23840.83,23812.26,1,8.57,TP,0.8071
4245,4248,BUY,23808.86,23828.48,1,-0.38,TP,0.6497
4253,4265,BUY,23862.17,23885.57,1,3.4,TP,0.6701
4270,4273,SELL,23921.96,23898.88,1,3.09,TP,0.7746
4278,4296,SELL,23894.32,23873.27,1,1.05,TP,0.7873
4310,4314,SELL,23840.58,23868.62,1,-48.04,SL,0.4671
4319,4333,SELL,23858.48,23885.23,1,-46.75,SL,0.505
4339,4344,BUY,23860.47,23884.37,1,3.9,TP,0.5502
4349,4363,SELL,23904.87,23873.17,1,11.69,TP,0.6061
4368,4370,BUY,23860.82,23897.27,1,16.45,TP,0.5702
4375,4383,BUY,23880.43,23926.61,1,26.19,TP,0.4778
4388,4411,SELL,23895.52,23875.32,1,0.2,TP,0.6277
4416,4420,SELL,23878.37,23907.18,1,-48.81,SL,0.5036
4425,4435,BUY,23874.27,23907.57,1,13.29,TP,0.5443
4440,4442,BUY,23900.88,23920.12,1,-0.76,TP,0.4686
4447,4450,SELL,23911.62,23937.69,1,-46.07,SL,0.5282
4455,4456,BUY,23969.89,23997.0,1,7.11,TP,0.5149
4461,4473,SELL,23994.7,24046.91,1,-72.21,SL,0.4844
4478,4482,SELL,24023.69,24058.41,1,-54.72,SL,0.7629
4487,4490,SELL,24039.79,24016.8,1,2.99,TP,0.8474
4495,4500,BUY,24017.95,24190.96,1,153.01,TP,0.5675
4505,4511,SELL,24154.57,24134.48,1,0.09,TP,0.9103
4516,4521,SELL,24132.57,24096.07,1,16.5,TP,0.8774
4526,4528,BUY,24102.37,24123.12,1,0.75,TP,0.7767
4533,4542,SELL,24126.37,24105.52,1,0.85,TP,0.7154
4547,4560,BUY,24135.83,24182.91,1,27.09,TP,0.6524
4565,4567,SELL,24192.96,24168.83,1,4.13,TP,0.7628
